ftsfind.c:101	0.547264	0.104257	0.010870	1.000000	0.180180	0.009009	1.000000	19.000000	20.257190	2.922224	1.005464	8.426150
ftsfind.c:103	0.547264	0.104257	0.010870	1.000000	0.180180	0.009009	1.000000	19.000000	20.257190	2.922224	1.005464	8.426150
ftsfind.c:105	0.547264	0.104257	0.010870	1.000000	0.180180	0.009009	1.000000	19.000000	20.257190	2.922224	1.005464	8.426150
ftsfind.c:106	0.547264	0.104257	0.010870	1.000000	0.180180	0.009009	1.000000	19.000000	20.257190	2.922224	1.005464	8.426150
ftsfind.c:108	0.547264	0.104257	0.010870	1.000000	0.180180	0.009009	1.000000	19.000000	20.257190	2.922224	1.005464	8.426150
ftsfind.c:109	0.547264	0.104257	0.010870	1.000000	0.180180	0.009009	1.000000	19.000000	20.257190	2.922224	1.005464	8.426150
ftsfind.c:111	0.000000	0.000000	0.000000	0.000000	-0.045045	0.000000	0.000000	-1.000000	22.729970	1.495349	0.000000	0.000000
ftsfind.c:119	0.547264	0.104257	0.010870	1.000000	0.180180	0.009009	1.000000	19.000000	20.257190	2.922224	1.005464	8.426150
ftsfind.c:121	0.547264	0.104257	0.010870	1.000000	0.180180	0.009009	1.000000	19.000000	20.257190	2.922224	1.005464	8.426150
ftsfind.c:123	0.547264	0.104257	0.010870	1.000000	0.180180	0.009009	1.000000	19.000000	20.257190	2.922224	1.005464	8.426150
ftsfind.c:125	0.666667	0.133631	0.017857	1.000000	0.504505	0.009009	1.000000	55.000000	24.248595	2.533022	1.009009	1.000000
ftsfind.c:126	0.666667	0.133631	0.017857	1.000000	0.504505	0.009009	1.000000	55.000000	24.248595	2.533022	1.009009	1.000000
ftsfind.c:133	0.547264	0.104257	0.010870	1.000000	0.180180	0.009009	1.000000	19.000000	20.257190	2.922224	1.005464	8.426150
ftsfind.c:140	0.547264	0.104257	0.010870	1.000000	0.180180	0.009009	1.000000	19.000000	20.257190	2.922224	1.005464	8.426150
ftsfind.c:142	0.547264	0.104257	0.010870	1.000000	0.180180	0.009009	1.000000	19.000000	20.257190	2.922224	1.005464	8.426150
ftsfind.c:144	0.547264	0.104257	0.010870	1.000000	0.180180	0.009009	1.000000	19.000000	20.257190	2.922224	1.005464	8.426150
ftsfind.c:146	0.547264	0.104257	0.010870	1.000000	0.180180	0.009009	1.000000	19.000000	20.257190	2.922224	1.005464	8.426150
ftsfind.c:147	0.547264	0.104257	0.010870	1.000000	0.180180	0.009009	1.000000	19.000000	20.257190	2.922224	1.005464	8.426150
ftsfind.c:149	0.547264	0.104257	0.010870	1.000000	0.180180	0.009009	1.000000	19.000000	20.257190	2.922224	1.005464	8.426150
ftsfind.c:151	0.547264	0.104257	0.010870	1.000000	0.180180	0.009009	1.000000	19.000000	20.257190	2.922224	1.005464	8.426150
ftsfind.c:153	0.666667	0.133631	0.017857	1.000000	0.504505	0.009009	1.000000	55.000000	24.248595	2.533022	1.009009	1.000000
ftsfind.c:155	0.666667	0.133631	0.017857	1.000000	0.504505	0.009009	1.000000	55.000000	24.248595	2.533022	1.009009	1.000000
ftsfind.c:156	0.666667	0.133631	0.017857	1.000000	0.504505	0.009009	1.000000	55.000000	24.248595	2.533022	1.009009	1.000000
ftsfind.c:175	0.547264	0.104257	0.010870	1.000000	0.180180	0.009009	1.000000	19.000000	20.257190	2.922224	1.005464	8.426150
ftsfind.c:189	0.000000	0.000000	0.000000	0.000000	-0.027027	0.000000	0.000000	-1.000000	22.420212	1.316074	0.000000	0.000000
ftsfind.c:191	0.000000	0.000000	0.000000	0.000000	-0.027027	0.000000	0.000000	-1.000000	22.420212	1.316074	0.000000	0.000000
ftsfind.c:192	0.000000	0.000000	0.000000	0.000000	-0.027027	0.000000	0.000000	-1.000000	22.420212	1.316074	0.000000	0.000000
ftsfind.c:193	0.000000	0.000000	0.000000	0.000000	-0.027027	0.000000	0.000000	-1.000000	22.420212	1.316074	0.000000	0.000000
ftsfind.c:226	0.550000	0.104828	0.010989	1.000000	0.189189	0.009009	1.000000	20.000000	20.431105	2.913217	1.005525	8.306624
ftsfind.c:230	0.550000	0.104828	0.010989	1.000000	0.189189	0.009009	1.000000	20.000000	20.431105	2.913217	1.005525	8.306624
ftsfind.c:231	0.550000	0.104828	0.010989	1.000000	0.189189	0.009009	1.000000	20.000000	20.431105	2.913217	1.005525	8.306624
ftsfind.c:232	0.550000	0.104828	0.010989	1.000000	0.189189	0.009009	1.000000	20.000000	20.431105	2.913217	1.005525	8.306624
ftsfind.c:233	0.550000	0.104828	0.010989	1.000000	0.189189	0.009009	1.000000	20.000000	20.431105	2.913217	1.005525	8.306624
ftsfind.c:236	0.550000	0.104828	0.010989	1.000000	0.189189	0.009009	1.000000	20.000000	20.431105	2.913217	1.005525	8.306624
ftsfind.c:237	0.550000	0.104828	0.010989	1.000000	0.189189	0.009009	1.000000	20.000000	20.431105	2.913217	1.005525	8.306624
ftsfind.c:240	0.564103	0.107833	0.011628	1.000000	0.234234	0.009009	1.000000	25.000000	21.219544	2.866975	1.005848	7.681146
ftsfind.c:242	0.000000	0.000000	0.000000	0.000000	-0.045045	0.000000	0.000000	-1.000000	22.729970	1.495349	0.000000	0.000000
ftsfind.c:244	0.564103	0.107833	0.011628	1.000000	0.234234	0.009009	1.000000	25.000000	21.219544	2.866975	1.005848	7.681146
ftsfind.c:315	0.000000	0.000000	0.000000	0.000000	-0.045045	0.000000	0.000000	-1.000000	22.729970	1.495349	0.000000	0.000000
